1	8
2	7
3	6
4	6
5	7
6	8
7	7
8	7
9	7
10	8
11	2
12	6
13	6
14	8
15	7
16	8
17	6
18	6
19	7
20	8
21	6
22	8
23	8
24	6
25	5
26	5
27	8
28	8
29	8
30	8
31	4
32	6
33	6
34	8
35	8
36	6
37	4
38	8
39	8
40	3
41	8
42	7
43	7
44	7
45	5
46	6
47	4
48	3
49	5
50	6
51	8
52	6
53	6
54	5
55	7
56	8
57	6
58	6
59	6
60	6
61	7
62	8
63	7
64	7
65	4
66	8
67	8
68	8
69	8
70	7
71	7
72	8
73	7
74	8
75	6
76	6
77	5
78	8
79	7
80	6
81	8
82	5
83	8
84	8
85	7
86	7
87	6
88	7
89	7
90	6
91	6
92	6
93	7
94	6
95	7
96	6
97	7
98	3
99	6
