1	0
2	0
3	1
4	1
5	0
6	1
7	0
8	0
9	1
10	0
11	1
12	0
13	1
14	1
15	0
16	0
17	1
18	0
19	0
20	0
21	1
22	1
23	1
24	1
25	0
26	1
27	1
28	0
29	0
30	1
31	0
32	1
33	0
34	1
35	0
36	0
37	1
38	1
39	0
40	1
41	1
42	1
43	1
44	0
45	0
46	1
47	1
48	0
49	0
50	0
51	0
52	1
53	0
54	0
55	1
56	1
57	1
58	1
59	0
60	1
61	1
62	1
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	1
72	0
73	0
74	0
75	0
76	1
77	0
78	0
79	0
80	1
81	0
82	0
83	1
84	1
85	0
86	1
87	0
88	0
89	0
90	1
91	0
92	0
93	1
94	0
95	1
96	0
97	1
98	0
99	1
